query,response,language
"What are your store hours","Our store is open from 9 AM to 9 PM, Monday to Saturday.","en"
"உங்கள் கடையின் வேலை நேரம் என்ன","எங்கள் கடை திங்கள் முதல் சனி வரை காலை 9 மணிமுதல் இரவு 9 மணிவரை திறந்திருக்கிறது.","ta"
"Where is the store located","Our store is located at 123 Main Street, City, Country.","en"
"கடை எங்கு அமைந்துள்ளது","எங்கள் கடை 123 மேன் ஸ்ட்ரீட், நகரம், நாடு என்ற முகவரியில் அமைந்துள்ளது.","ta"
"Do you offer home delivery","Yes, we offer home delivery within a 10 km radius of our store.","en"
"நீங்கள் வீட்டிற்கு பொருட்கள் அனுப்புகிறீர்களா","ஆம், எங்கள் கடையிலிருந்து 10 கிலோமீட்டர் சுற்றளவுக்கு நாங்கள் வீட்டிற்கு டெலிவரி செய்கிறோம்.","ta"
"Do you have parking facilities","Yes, we have ample parking space for customers.","en"
"உங்களிடம் வாகன நிறுத்தும் வசதி உள்ளதா","ஆம், எங்கள் வாடிக்கையாளர்களுக்காக போதுமான வாகன நிறுத்தும் இடம் உள்ளது.","ta"
"Can I return a product","Yes, you can return products within 30 days of purchase with the receipt.","en"
"நான் வாங்கிய பொருளை திருப்பி தரலாமா","ஆம், வாங்கிய ரசீதை காண்பித்து, 30 நாட்களுக்குள் பொருளை திருப்பி கொடுக்கலாம்.","ta"
"How can I track my order","You can track your order through the link sent in your order confirmation email.","en"
"நான் என் ஆர்டரை எப்படி கண்காணிக்க முடியும்","ஆர்டர் உறுதிப்படுத்தல் மின்னஞ்சலில் உள்ள லிங்கைக் கொண்டு உங்கள் ஆர்டரை கண்காணிக்கலாம்.","ta"
"Do you have a loyalty program","Yes, we have a loyalty program. You earn points with every purchase.","en"
"உங்களிடம் லோயல்டி திட்டம் உள்ளதா","ஆம், எங்கள் லோயல்டி திட்டத்தில் ஒவ்வொரு வாங்கும்போதும் புள்ளிகளை சம்பாதிக்கலாம்.","ta"
"What payment methods do you accept","We accept all major credit cards, debit cards, and mobile payment options.","en"
"எந்தவகையான கட்டண முறைகளை ஏற்கிறீர்கள்","எல்லா முக்கியமான கிரெடிட் கார்டுகள், டெபிட் கார்டுகள், மற்றும் மொபைல் பேமெண்ட் முறைகளை ஏற்கிறோம்.","ta"
"Can I cancel my order","You can cancel your order within 24 hours of placing it. Please contact our customer support.","en"
"நான் ஆர்டரை ரத்து செய்யலாமா","ஆர்டர் வைத்த 24 மணி நேரத்திற்குள் ரத்து செய்யலாம். எங்கள் வாடிக்கையாளர் சேவையை தொடர்பு கொள்ளுங்கள்.","ta"
"Are your products available online","Yes, you can purchase our products online via our website.","en"
"உங்கள் பொருட்கள் ஆன்லைனில் கிடைக்குமா","ஆம், எங்கள் வலைதளம் மூலம் ஆன்லைனில் வாங்கலாம்.","ta"
"Do you offer discounts","We offer seasonal discounts and promotions. Check our website for current offers.","en"
"நீங்கள் தள்ளுபடி கொடுப்பீர்களா","ஆம், காலகட்டங்களில் தள்ளுபடிகள் மற்றும் சலுகைகள் தருகிறோம். தற்போதைய சலுகைகளை எங்கள் வலைதளத்தில் பாருங்கள்.","ta"
"Can I exchange a product","Yes, products can be exchanged within 15 days of purchase with the receipt.","en"
"நான் பொருளை மாற்றிக்கொள்ளலாமா","ஆம், வாங்கிய ரசீதை காண்பித்து, 15 நாட்களுக்குள் பொருளை மாற்றிக் கொள்ளலாம்.","ta"
"How do I contact customer support","You can contact customer support at +123-456-7890 or email us at support@store.com.","en"
"நான் வாடிக்கையாளர் சேவையுடன் எப்படி தொடர்பு கொள்ளலாம்","வாடிக்கையாளர் சேவையை +123-456-7890 என்ற எண்ணில் அழைக்கலாம் அல்லது support@store.com என்ற மின்னஞ்சல் முகவரிக்கு மின்னஞ்சல் அனுப்பலாம்.","ta"
"Do you sell gift cards","Yes, we offer gift cards that you can purchase in-store or online.","en"
"நீங்கள் கிப்ட் கார்டுகளை விற்கிறீர்களா","ஆம், எங்கள் கடையில் அல்லது ஆன்லைனில் கிப்ட் கார்டுகளை வாங்கலாம்.","ta"
"Is there a warranty on your products","Yes, most of our products come with a one-year warranty. Please check the product details for more information.","en"
"உங்கள் பொருட்களுக்கு உத்திரவாதம் இருக்கிறதா","ஆம், எங்கள் பொருட்களின் பெரும்பாலானவை ஒரு வருட உத்திரவாதத்துடன் வருகிறது. மேலும் விவரங்களுக்கு பொருளின் விவரங்களை சரிபார்க்கவும்.","ta"
